"","Time","Day_of_week","X466910","X466920","X466930","C0A980","C0A9A0","C0A9B0","C0A9C0","C0A9E0","C0A9F0","C0AC40","C0AC70","C0AC80","C0AH40","C0AH70","C1A730","C1AC50"
"2936","2015/5/3 07:00","Sun","0.3","0.3","0.2","0","0.5","0","0.5","0","0","0","0.5","0",NA,NA,"0","0"
"2937","2015/5/3 08:00","Sun","0.1","0","0","0","0","0.5","0","0","0",NA,"0","0",NA,NA,"0","0"
"2938","2015/5/3 09:00","Sun","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"2939","2015/5/3 10:00","Sun","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"2940","2015/5/3 11:00","Sun","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"2941","2015/5/3 12:00","Sun","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"2942","2015/5/3 13:00","Sun","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"2943","2015/5/3 14:00","Sun","0","0","0","0","0","0","0","0","0",NA,"0","0",NA,NA,"0","0"
"2944","2015/5/3 15:00","Sun","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"2945","2015/5/3 16:00","Sun","0","0","0","0","0","0",NA,"0","0","0","0","0",NA,NA,"0","0"
"2946","2015/5/3 17:00","Sun","0","0","0","0","0","0","0","0","0","0.5","0","0",NA,NA,"0","0"
"2947","2015/5/3 18:00","Sun","0.2","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"2948","2015/5/3 19:00","Sun","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0.5","0"
"2949","2015/5/3 20:00","Sun","0","0","0","0","0","0","0","0","0","0","0","5",NA,NA,"0","0"
"2950","2015/5/3 21:00","Sun","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"2951","2015/5/3 22:00","Sun","0","0","0","0","0","0","0","0","0","0.5","0","0",NA,NA,"0","0"
"2952","2015/5/3 23:00","Sun","0.2","0.6","0","0","0","0","0","0","0","0","0","0",NA,NA,"0.5","0"
"2953","2015/5/4 00:00","Mon","0","3.9","0","1.5","1.5","0.5","0","1.5","2.5","0","5.5","2.5",NA,NA,"5","0.5"
"2954","2015/5/4 01:00","Mon","0.5","25","0.2","0.5","6","0","0","1","9","0.5","14","2",NA,NA,"12.5","0"
"2955","2015/5/4 02:00","Mon","0","3.8","0.1","3.5","5.5","2.5","3","4","5.5","0.5","10","4",NA,NA,"4.5","1"
"2956","2015/5/4 03:00","Mon","0","0.1","0","0","0","0","0","0","0.5","0","0","2.5",NA,NA,"1.5","0"
"2957","2015/5/4 04:00","Mon","0","0.9","0","0","0","0","0","0","0","0.5","2.5","2.5",NA,NA,"1.5","0"
"2958","2015/5/4 05:00","Mon","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"2959","2015/5/4 06:00","Mon","0","0","0","0","0","0","0","0","0","0","0","0.5",NA,NA,"0","0"
"2960","2015/5/4 07:00","Mon","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0.5","0"
"2961","2015/5/4 08:00","Mon","0","0.2","0","0","0.5","0","0","0","0","0","0.5","0.5",NA,NA,"0","0"
"2962","2015/5/4 09:00","Mon","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0.5","0"
"2963","2015/5/4 10:00","Mon","1","0","0.5","2","0","0.5","0.5","0","0","0","0","0",NA,NA,"0","0.5"
"2964","2015/5/4 11:00","Mon","0.5","0.2","0.3","0","0","0.5","0","0","0","0","0","0",NA,NA,NA,"0"
"2965","2015/5/4 12:00","Mon","1","2.1","1.8","0.5","1.5","0","0","2","1","3","1.5","1.5",NA,NA,"2","0"
"2966","2015/5/4 13:00","Mon","0.5","0.5","0","0","0","0","0","0","0","0","0","1",NA,NA,"0.5","1"
"2967","2015/5/4 14:00","Mon","0","0.5","0","0","0.5","0","0","0.5","0.5","0","0.5","3",NA,NA,"3","0"
"2968","2015/5/4 15:00","Mon","5","0.1","4","0.5","0","1","1.5","0","0","4.5","1.5","0.5",NA,NA,"0","3"
"2969","2015/5/4 16:00","Mon","0","0.5","0","0","0.5","0.5","0","0","0.5","0","0.5","0",NA,NA,"0.5","0"
"2970","2015/5/4 17:00","Mon","0.5","0.1","0.5","0","0","0","0","0","0","0.5","0","0",NA,NA,"0","0"
"2971","2015/5/4 18:00","Mon","0","0.3","0","0","0","0","0","0","0","0","0.5","0",NA,NA,"0","0"
"2972","2015/5/4 19:00","Mon","0","0","0","0","0","0","0","0","0","0.5","0","0",NA,NA,"0","0"
"2973","2015/5/4 20:00","Mon","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"2974","2015/5/4 21:00","Mon","0.5","0.2","0.1","0","0","0","0","0","0","0","0","0.5",NA,NA,"0","0"
"2975","2015/5/4 22:00","Mon","0","0.1","1.4","1","0.5","0.5","1","0.5","0.5","0.5","0.5","0",NA,NA,"0.5","1.5"
